htn elev. chol. right facial droop with treatment secondary to problem to face right nephrectomy	TrAP
discharge instructions : may shower , no bathing or swimming for 1 month no creams , lotions or treatment to problem no driving for 1 month no lifting > 10 # for 10 weeks	TrNAP
test prior to scheduled cath showed problem , inferior hk , ef 40% , mild mr , mild lae .	TeRP
test prior to scheduled cath showed mild lvh , problem , ef 40% , mild mr , mild lae .	TeRP
Transferred in urgently for cabg with Dr. Howard .	None
PT - 13.6* PTT - 33.3 INR ( PT ) - 1.2*	None
There has been removal of a Swan-Ganz catheter and placement of a right internal jugular vascular catheter , with the tip terminating in the proximal right atrium just below the junction with the superior vena cava .	None
Previously reported interstitial edema has resolved .	None
There has been interval improvement in left basilar atelectasis .	None
Bilateral pleural effusions are unchanged .	None
There is mild symmetric left ventricular hypertrophy .	None
Overall left ventricular systolic function is mildly depressed .	None
Resting regional wall motion abnormalities include mild inferior hypokinesis .	None
There are three aortic valve leaflets .	None
No masses or vegetations are seen on the aortic valve .	None
Trace aortic regurgitation is seen .	None
Trivial mitral regurgitation is seen .	None
There is no pericardial effusion .	None
test showed sinus brady , with problem .	TeRP
bilateral crackles at bases and midlungs , elevated jvp , trace bilateral ankle edema , and cxr with diffuse opacities suggest possible problem2 , likely secondary to problem1 .	PIP
bilateral crackles at bases and midlungs , elevated jvp , trace bilateral ankle edema , and test with problem suggest possible pulmonary edema , likely secondary to acute mi .	TeRP
test , problem .	TeRP
Jacob U. Rolland , M.D.	None
EKG showed sinus brady , with old LAD and new ST depressions in V1-V4 .	None
WBC - 11.4* RBC - 3.61* Hgb - 11.4* Hct - 32.6* MCV - 90 MCH - 31.7	None
There is no pneumothorax .	None
MCHC - 35.3* RDW - 14.8 Plt Ct - 214	None
We decided given her age that she would not be a good candidate for cardioversion for her afib nor would she be a good candidate for coumadin .	None
Therefore we will continue rate control with metoprolol this can be titrated if needed , and aspirin and plavix for anti-coagulation .	None
before this age , the family and other caregivers should be considered for treatment against problem to protect the infant .	TrAP
he was noted to have problem and for this was started on treatment .	TrAP
test revealed s1 and s2 regular , no problem , 2+ femoral pulses .	TeRP
Neck was supple without masses or defects .	None
With the initiation of caffeine therapy the patient has had no more apnea or bradycardic events .	None
The patient was initially started on nasal prong CPAP at 6 and required additional oxygen to 35% .	None
The morning of transfer his IV came out so he has just been advanced to 120 cc per kg per day of PE-20 and his tolerating these PG feedings without difficulty .	None
His most recent bilirubin was 6.6 on day of life six , the day of discharge , and his phototherapy was discontinued. He will need a rebound bilirubin level in am .	None
He is due to have his state screen sent today .	None
2. problem ( on treatment ) .	TrAP
abd : soft , problem1 with problem2 , no hsm , hyperactive bs	PIP
proceed to the er/ew/monica if problem1 becomes red , problem2 , warm , or produces pus .	PIP
go to an emergency room if you experience problem1 including , but not necessarily limited to : new and continuing nausea , vomiting , fevers ( >101.5 f ) , chills , or problem2 .	PIP
Abd : soft , +distension with tympany , no HSM , hyperactive BS	None
NSR at 62 , nl axis , nl intervals , Q waves in III , avR , V1 .	None
TWI 's in III , V1 .	None
GLUCOSE - 94 UREA N - 22* CREAT - 1.4* SODIUM - 142	None
On HD2 , cardiac clearance was obtained by Dr. Sanchez .	None
ICU for 24hr post-op cardiac monitoring .	None
On POD1 , patient was transferred out of FICU to 12R .	None
2. Atorvastatin Calcium 20 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) .	None
DR. Freddy Darr on :	None
test sent to pathology revealing problem .	TeRP
He presented on 2016-11-21 for resection .	None
He was admitted on 2016-11-21 following his surgery .	None
Includes hypertension and chronic obstructive pulmonary disease .	None
Triamterene/hydrochlorothiazide 37.5/25 mg one tablet by mouth once daily and lorazepam 1 mg three times daily as needed ( for anxiety ) .	None
Frozen section sent to pathology revealing invasive squamous cell carcinoma .	None
The patient was admitted to the Surgical Intensive Care Unit postoperatively .	None
G-tube was to gravity , Foley to gravity , left radial A-line .	None
The flap was pink with a strong Doppler signal .	None
Postoperative laboratories revealed sodium was 134 , potassium was 4.1 , chloride was 102 , bicarbonate was 28 , blood urea nitrogen was 18 , creatinine was 0.8 , and glucose was 148 .	None
Right arm neurovascularly intact .	None
He was weaned from ventilation on postoperative day one to pressure support ventilation and then to spontaneous breathing on postoperative day two .	None
The cuff on his tracheostomy tube was put down on 11-23 , postoperative day two which he tolerated well with minimal secretions and a strong adequate cough .	None
His tube feedings were advanced .	None
there was problem2 and problem1 .	PIP
1. treatment 100 mg po t.i.d. for problem .	TrAP
test revealed a regular rate and rhythm with no murmurs , rubs or problem .	TeRP
test remained relatively unchanged , with resolution of problem and right facial weakness .	TeRP
test remained relatively unchanged , with resolution of the subtle left hand weakness and problem .	TeRP
test and rapid alternating movements were problem and she had trouble isolating individual finger movements .	TeRP
she was seen again by primary care physician , roderick since she had complaints of problem2 , as well as a new complaint of decreased hearing and the sensation of static in her ears , problem1 was considered .	PIP
there was no problem2 of problem1 .	PIP
Mrs. Wisniewski is a 45-year-old woman with multiple familial cavernous hemangiomas .	None
She developed an ear ache , for which she saw her primary care physician , Evelyn was prescribed cortisone drops .	None
She was seen again by primary care physician , Roderick since she had complaints of dizziness , as well as a new complaint of decreased hearing and the sensation of static in her ears , meniere 's disease was considered .	None
She no longer observes that belief system .	None
Cardiovascular exam revealed a regular rate and rhythm with no murmurs , rubs or gallops .	None
She was able to give a detailed history in an organized manner .	None
There was no evidence of any special neglect .	None
Extraocular movements were full with normal smooth pursuit to the left .	None
Hearing was diminished for conversational speech .	None
Reflexes were brisk in the legs with 4-5 beats of clonus at the ankles bilaterally .	None
There was some mild surrounding edema .	None
There was a larger area of susceptibility artifact in the left temporal lobe , right frontal lobe , and the splenius of the corpus collasum .	None
on test , he is problem .	TeRP
his past medical history is significant for prostate cancer , benign prostatic hypertrophy , hypothyroidism , status post treatment for problem , chronic painless hematuria , degenerative joint disease and history of a murmur .	TrAP
he was initially admitted to cmed for treatment and repair of problem .	TrAP
he was initially admitted to cmed for resection and treatment of problem .	TrAP
This is an 85 year old man initially admitted to the Plastic Surgery Service for evaluation of a left facial mass .	None
Regular rate and rhythm .	None
He is being discharged to rehabilitation to follow up for XRT given the fact that his pathology revealed squamous cell cancer extending deep to the margin as well as positive level II nodes .	None
He should also follow up with Dr. Rankin and Dr. Langhorne .	None
