admission	O
date	O
2018-10-25	O
discharge	O
date	O
2018-10-31	O
date	O
birth	O
1951-06-15	O
sex	O
service	O
cardiothoracic	O
allergies	O
patient	O
recorded	O
having	O
known	B-problem
allergies	I-problem
drugs	B-treatment
attending	O
michael	O
christensen	O
m.d.	O
chief	O
complaint	O
shortness	B-problem
breath	I-problem
major	O
surgical	O
invasive	O
procedure	O
coronary	B-treatment
artery	I-treatment
bypass	I-treatment
graft	I-treatment
left	B-treatment
internal	I-treatment
mammary	I-treatment
left	I-treatment
anterior	I-treatment
descending	I-treatment
saphaneous	B-treatment
vein	I-treatment
graft	I-treatment
obtuse	I-treatment
marginal	I-treatment
saphaneous	B-treatment
vein	I-treatment
graft	I-treatment
posterior	I-treatment
descending	I-treatment
artery	I-treatment
2018-10-25	O
history	O
present	O
illness	O
male	O
with	O
worsening	B-problem
shortness	I-problem
breath.	O
had	O
abnormal	B-problem
ett	I-problem
and	O
referred	O
for	O
cath	B-test
cath	B-test
revealed	O
severe	B-problem
vessel	I-problem
disease	I-problem
then	O
referred	O
for	O
surgical	B-treatment
intervention	I-treatment
past	O
medical	O
history	O
carpal	B-problem
tunnel	I-problem
syndrome	I-problem
hypertension	B-problem
hyperlipidemia	B-problem
arthritis	B-problem
palsy	B-problem
hoh	B-problem
tonsillectomy	B-treatment
social	O
history	O
denies	O
etoh	O
rare	O
tobacco	O
electrician	O
family	O
history	O

father	O
with	O
and	O
underwent	O
cabg	B-treatment
physical	O
exam	O
180	O
general	O
male	O
nad	B-problem
heent	O
eomi	O
perrl	O
neck	O
supple	O
from	O
jvd	B-problem
carotid	B-problem
bruits	I-problem
chest	O
ctab	O
heart	O
rrr	O
abd	O
soft	O
ext	O
warm	O
well-perfused	O
edema	B-problem
varicosities	B-problem
neuro	O
mae	O
non-focal	O
pertinent	O
results	O
echo	B-test
10-25	O
pre-bypass	O
left	B-test
ventricular	I-test
wall	I-test
thicknesses	I-test
are	O
normal	O
the	B-test
left	I-test
ventricular	I-test
cavity	I-test
size	I-test
normal	O
there	O
mild	B-problem
inferior	I-problem
wall	I-problem
hypokinesis	I-problem
there	O
akinesis	B-problem
dyskinesis	B-problem
and	O
thinning	B-problem
the	I-problem
mid	I-problem
distal	I-problem
inferior	I-problem
septum	I-problem
and	O
the	O
apex	O
overall	B-test
left	I-test
ventricular	I-test
systolic	I-test
function	I-test
mildly	B-problem
depressed	I-problem
right	B-test
ventricular	I-test
chamber	I-test
size	I-test
and	O
free	B-test
wall	I-test
motion	I-test
are	O
normal	O
the	O
descending	O
thoracic	O
aorta	O
mildly	B-problem
dilated	I-problem
there	O
are	O
simple	B-problem
atheroma	I-problem
the	I-problem
descending	I-problem
thoracic	I-problem
aorta	I-problem

there	O
are	O
three	O
aortic	O
valve	O
leaflets	O
there	O
aortic	B-problem
valve	I-problem
stenosis	I-problem
aortic	B-problem
regurgitation	I-problem
seen	O
the	O
mitral	O
valve	O
leaflets	O
are	O
mildly	B-problem
thickened	I-problem
trivial	B-problem
mitral	I-problem
regurgitation	I-problem
seen	O
post-bypass	O
and	B-test
function	I-test
unchanged	O
aorta	O
unchanged	O
other	O
findings	O
are	O
