service	O
cardiothoracic	O
allergies	O
patient	O
recorded	O
having	O
known	B-problem
allergies	I-problem
drugs	B-treatment
attending	O
michael	O
christensen	O
m.d.	O
chief	O
complaint	O
shortness	B-problem
breath	I-problem

major	O
surgical	O
invasive	O
procedure	O
coronary	B-treatment
artery	I-treatment
bypass	I-treatment
graft	I-treatment
left	B-treatment
internal	I-treatment
mammary	I-treatment
left	I-treatment
anterior	I-treatment
descending	I-treatment
saphaneous	B-treatment
vein	I-treatment
graft	I-treatment
obtuse	I-treatment
marginal	I-treatment
saphaneous	B-treatment
vein	I-treatment
graft	I-treatment
posterior	I-treatment
descending	I-treatment
artery	I-treatment
2018-10-25	O
history	O
present	O
illness	O

male	O
with	O
worsening	B-problem
shortness	I-problem
breath.	O
had	O
abnormal	B-problem
ett	I-problem
and	O
referred	O
for	O
cath	B-test
cath	B-test
revealed	O
severe	B-problem
vessel	I-problem
disease	I-problem
then	O
referred	O
for	O
surgical	B-treatment
intervention	I-treatment
past	O
medical	O
history	O
carpal	B-problem
tunnel	I-problem
syndrome	I-problem
hypertension	B-problem
hyperlipidemia	B-problem
arthritis	B-problem
palsy	B-problem
hoh	B-problem
tonsillectomy	B-treatment
social	O
history	O
denies	O
etoh	O
rare	O
tobacco	O
electrician	O
family	O
history	O
father	O
with	O
and	O
underwent	O
cabg	B-treatment
physical	O
exam	O
180	O
general	O
male	O
nad	B-problem
heent	O
eomi	O
perrl	O
neck	O
supple	O
from	O
jvd	B-problem
carotid	B-problem
bruits	I-problem
chest	O
ctab	O
heart	O
rrr	O
abd	O
soft	O
ext	O
warm	O
well-perfused	O
edema	B-problem
varicosities	B-problem
neuro	O
mae	O
non-focal	O
pertinent	O
results	O
echo	B-test
10-25	O
pre-bypass	O
left	B-test
ventricular	I-test
wall	I-test
thicknesses	I-test
are	O
normal	O
the	B-test
left	I-test
ventricular	I-test
cavity	I-test
size	I-test
normal	O
there	O
mild	B-problem
inferior	I-problem
wall	I-problem
hypokinesis	I-problem
there	O
akinesis	B-problem
dyskinesis	B-problem
and	O
thinning	B-problem
the	I-problem
mid	I-problem
distal	I-problem
inferior	I-problem
septum	I-problem
and	O
the	O
apex	O
overall	B-test
left	I-test
ventricular	I-test
systolic	I-test
function	I-test
mildly	B-problem
depressed	I-problem
right	B-test
ventricular	I-test
chamber	I-test
size	I-test
and	O
free	B-test
wall	I-test
motion	I-test
are	O
normal	O
the	O
descending	O
thoracic	O
aorta	O
mildly	B-problem
dilated	I-problem
there	O
are	O
simple	B-problem
atheroma	I-problem
the	I-problem
descending	I-problem
thoracic	I-problem
aorta	I-problem
there	O
are	O
three	O
aortic	O
valve	O
leaflets	O
there	O
aortic	B-problem
valve	I-problem
stenosis	I-problem

aortic	B-problem
regurgitation	I-problem
seen	O
the	O
mitral	O
valve	O
leaflets	O
are	O
mildly	B-problem
thickened	I-problem
trivial	B-problem
mitral	I-problem
regurgitation	I-problem
seen	O
post-bypass	O
and	B-test
function	I-test
unchanged	O
aorta	O
unchanged	O
other	O
findings	O
are	O
unchanged	O
cxr	B-test
10-30	O
left	B-problem
lower	I-problem
lobe	I-problem
atelectasis	I-problem
has	O
partially	O
cleared	O

upper	O
lungs	O
are	O
clear	O
mild	B-problem
postoperative	I-problem
widening	I-problem
the	I-problem
cardiomediastinal	I-problem
silhouette	I-problem
stable	O
pneumothorax	B-problem
2018-10-25	O
blood	B-test
wbc	B-test
18.3	O
rbc	B-test
3.42	O
hgb	B-test
10.9	O
hct	B-test
31.6	O
mcv	B-test
mch	B-test
31.7	O
mchc	B-test
34.4	O
rdw	B-test
13.3	O
plt	B-test
134	O
2018-10-31	O
blood	B-test
wbc	B-test
13.6	O
rbc	B-test
2.72	O
hgb	B-test
8.6	O
hct	B-test
24.6	O
mcv	B-test
mch	B-test
31.7	O
mchc	B-test
35.0	O
rdw	B-test
14.0	O
plt	B-test
314	O
2018-10-25	O
blood	B-test
13.3	O
ptt	B-test
30.0	O
1.2	O
2018-10-29	O
blood	B-test
11.9	O
1.0	O
2018-10-25	O
blood	B-test
urean	B-test
creat	B-test
0.7	O
111	O
hco3	O
2018-10-31	O
blood	B-test
glucose	B-test
urean	B-test
creat	B-test
0.8	O
134	O
4.0	O
hco3	O
angap	B-test
brief	O
hospital	O
course	O
mr.	O
kammerer	O
was	O
same	O
day	O
admit	O
and	O
10-25	O
was	O
brought	O
the	O
operating	O
room	O
where	O
underwent	O
coronary	B-treatment
artery	I-treatment
bypass	I-treatment
graft	I-treatment
please	O
see	O
operative	O
report	O
for	O
surgical	O
details	O
tolerated	O
the	B-treatment
procedure	I-treatment
well	O
and	O
was	O
transferred	O
the	O
csru	O
for	O
